Customer_ID,Activity_Type,Time_Since_Last_Activity,Activity_Amount,Account_Age,Previous_Debts,Monthly_Income,Debt_Status
1,missed_payment,14,0.0,120,1,1380.26,no_debt_risk
1,inquiry,8,0.0,120,1,1380.26,no_debt_risk
1,payment,21,693.03,120,1,1380.26,no_debt_risk
1,payment,1,400.72,120,1,1380.26,no_debt_risk
1,overdraft,9,193.55,120,1,1380.26,no_debt_risk
1,payment,8,261.53,120,1,1380.26,no_debt_risk
1,overdraft,9,73.91,120,1,1380.26,no_debt_risk
1,credit_check,10,0.0,120,1,1380.26,no_debt_risk
1,missed_payment,3,0.0,120,1,1380.26,no_debt_risk
1,inquiry,18,0.0,120,1,1380.26,no_debt_risk
1,credit_check,28,0.0,120,1,1380.26,no_debt_risk
1,inquiry,14,0.0,120,1,1380.26,no_debt_risk
1,missed_payment,12,0.0,120,1,1380.26,debt_risk
1,payment,24,599.06,120,1,1380.26,no_debt_risk
1,inquiry,2,0.0,120,1,1380.26,no_debt_risk
1,inquiry,26,0.0,120,1,1380.26,no_debt_risk
2,inquiry,18,0.0,63,8,9578.97,no_debt_risk
2,missed_payment,1,0.0,63,8,9578.97,debt_risk
2,credit_check,1,0.0,63,8,9578.97,no_debt_risk
2,overdraft,21,782.3,63,8,9578.97,no_debt_risk
2,payment,2,53.68,63,8,9578.97,no_debt_risk
2,credit_check,28,0.0,63,8,9578.97,no_debt_risk
2,inquiry,7,0.0,63,8,9578.97,no_debt_risk
3,credit_check,28,0.0,75,5,4834.13,no_debt_risk
3,credit_check,27,0.0,75,5,4834.13,no_debt_risk
3,inquiry,25,0.0,75,5,4834.13,no_debt_risk
3,overdraft,15,826.37,75,5,4834.13,no_debt_risk
3,missed_payment,18,0.0,75,5,4834.13,no_debt_risk
3,inquiry,23,0.0,75,5,4834.13,no_debt_risk
3,credit_check,9,0.0,75,5,4834.13,no_debt_risk
3,overdraft,1,687.14,75,5,4834.13,no_debt_risk
3,inquiry,17,0.0,75,5,4834.13,no_debt_risk
3,overdraft,16,454.12,75,5,4834.13,no_debt_risk
4,inquiry,19,0.0,65,0,9283.66,no_debt_risk
4,overdraft,24,620.99,65,0,9283.66,no_debt_risk
4,inquiry,12,0.0,65,0,9283.66,no_debt_risk
4,overdraft,21,909.9,65,0,9283.66,no_debt_risk
4,missed_payment,15,0.0,65,0,9283.66,debt_risk
4,credit_check,26,0.0,65,0,9283.66,no_debt_risk
4,inquiry,3,0.0,65,0,9283.66,no_debt_risk
4,credit_check,27,0.0,65,0,9283.66,no_debt_risk
4,payment,12,467.21,65,0,9283.66,no_debt_risk
4,missed_payment,5,0.0,65,0,9283.66,debt_risk
4,missed_payment,7,0.0,65,0,9283.66,no_debt_risk
4,inquiry,15,0.0,65,0,9283.66,no_debt_risk
4,missed_payment,5,0.0,65,0,9283.66,debt_risk
4,inquiry,24,0.0,65,0,9283.66,no_debt_risk
4,payment,21,559.34,65,0,9283.66,no_debt_risk
5,payment,30,56.33,103,7,3025.65,no_debt_risk
5,credit_check,7,0.0,103,7,3025.65,no_debt_risk
5,overdraft,6,11.8,103,7,3025.65,no_debt_risk
5,overdraft,18,645.65,103,7,3025.65,no_debt_risk
5,credit_check,19,0.0,103,7,3025.65,no_debt_risk
5,credit_check,7,0.0,103,7,3025.65,no_debt_risk
5,overdraft,29,571.93,103,7,3025.65,no_debt_risk
5,inquiry,19,0.0,103,7,3025.65,no_debt_risk
5,payment,2,306.49,103,7,3025.65,no_debt_risk
5,overdraft,22,42.13,103,7,3025.65,no_debt_risk
5,payment,20,332.83,103,7,3025.65,no_debt_risk
5,inquiry,21,0.0,103,7,3025.65,no_debt_risk
5,inquiry,8,0.0,103,7,3025.65,no_debt_risk
5,credit_check,16,0.0,103,7,3025.65,no_debt_risk
5,overdraft,26,855.75,103,7,3025.65,no_debt_risk
5,overdraft,20,436.28,103,7,3025.65,no_debt_risk
5,payment,29,134.71,103,7,3025.65,no_debt_risk
5,inquiry,6,0.0,103,7,3025.65,no_debt_risk
5,overdraft,23,410.87,103,7,3025.65,no_debt_risk
5,missed_payment,3,0.0,103,7,3025.65,no_debt_risk
6,inquiry,26,0.0,52,4,3443.13,no_debt_risk
6,credit_check,13,0.0,52,4,3443.13,no_debt_risk
6,missed_payment,17,0.0,52,4,3443.13,debt_risk
6,inquiry,4,0.0,52,4,3443.13,no_debt_risk
6,inquiry,9,0.0,52,4,3443.13,no_debt_risk
6,payment,14,172.99,52,4,3443.13,no_debt_risk
6,missed_payment,21,0.0,52,4,3443.13,no_debt_risk
6,credit_check,8,0.0,52,4,3443.13,no_debt_risk
6,payment,10,932.03,52,4,3443.13,no_debt_risk
7,missed_payment,2,0.0,39,4,6024.94,debt_risk
7,credit_check,15,0.0,39,4,6024.94,no_debt_risk
7,payment,10,518.33,39,4,6024.94,no_debt_risk
7,payment,21,259.45,39,4,6024.94,no_debt_risk
